,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
3,1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,2021-04-13,2021-09-13,2021-07-01,68660.0,76648.0,76648.0
4,1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,2021-07-06,2021-12-07,2021-11-29,343300.0,385777.0,332314.0
5,1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,2022-07-18,2024-07-16,,7724250.0,7190070.0,6223204.0
6,1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,2022-07-18,2024-07-16,,480620.0,211172.0,210807.0
7,1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-06-22,2023-10-23,2023-07-06,4240.0,2496.0,2496.0
8,1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-07-06,2024-01-03,2023-12-13,19080.0,9986.0,9986.0
9,1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-05-27,2025-05-26,,245920.0,224898.0,120644.0
10,1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-05-27,2025-05-26,,126937.0,109281.0,95726.0
13,1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,2021-05-26,2021-10-12,2022-01-21,124674.0,160838.0,160838.0
14,1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,2022-01-21,2022-06-22,2022-05-10,613841.0,522010.0,522010.0
15,1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Construction,Complete,2022-09-19,2024-06-09,2024-11-19,12987707.0,12230812.0,12028920.0
16,1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,"CM,F&E",Complete,2022-09-19,2024-06-09,2024-11-19,944133.0,358472.0,331525.0
19,1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,2021-04-22,2021-09-07,2021-12-21,195550.0,194302.0,191707.0
20,1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,2021-12-22,2022-06-10,2022-09-16,977750.0,611348.0,486009.0
21,1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,2023-08-07,2025-08-05,,21999375.0,21348715.0,12140405.0
22,1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,2023-08-07,2025-08-05,,1378813.0,358922.0,305456.0
23,1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,2024-03-05,2024-06-03,,0.0,7108.0,1343.0
24,1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,6000.0,5372.0,5372.0
25,1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,88000.0,88000.0,1128.0
26,1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,6000.0,6000.0,4181.0
31,1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2020-06-25,2020-10-26,2020-07-21,3482.0,4450.0,4450.0
32,1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2020-07-21,2021-01-15,2021-03-30,15667.0,17800.0,17800.0
33,1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2022-05-24,2023-03-19,,201929.0,188076.0,169532.0
34,1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2022-05-24,2023-03-19,,234839.0,264478.0,259136.0
36,1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
37,1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Design,PNS,,,,90000.0,90000.0,0.0
38,1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,,,,1320000.0,1320000.0,0.0
39,1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,90000.0,90000.0,0.0
40,1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,,140000.0,140000.0,0.0
47,1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,2021-04-30,2021-07-30,2021-07-22,27380.0,43207.0,43207.0
48,1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2021-08-02,2022-02-07,2022-02-01,136900.0,172599.0,163150.0
