Project Type,Project Phase Name,Spend_Ratio,Estimate_Ratio,Budget_Per_Day,Project Status Name,Budget,Final_Estimate,Actual_Spend,Planned_Duration,Is_Delayed,Project Start_Month
SCA CIP,Scope,1.116341392368191,1.116341392368191,448.75816993464053,Complete,68660.0,76648.0,76648.0,153,0,April
SCA CIP,Design,0.9679988348383338,1.1237314302359451,2229.220779220779,Complete,343300.0,385777.0,332314.0,154,0,July
SCA CIP,Scope,0.5886792452830188,0.5886792452830188,34.47154471544715,Complete,4240.0,2496.0,2496.0,123,0,June
SCA CIP,Design,0.5233752620545074,0.5233752620545074,105.41436464088397,Complete,19080.0,9986.0,9986.0,181,0,July
SCA CIP,Scope,1.2900684986444648,1.2900684986444648,896.9352517985611,Complete,124674.0,160838.0,160838.0,139,1,May
SCA CIP,Design,0.8503993705210307,0.8503993705210307,4038.4276315789475,Complete,613841.0,522010.0,522010.0,152,0,January
SCA CIP,Construction,0.9261773460088066,0.9417221993073912,20648.182829888712,Complete,12987707.0,12230812.0,12028920.0,629,1,September
SCA CIP,"CM,F&E",0.3511422649139475,0.37968379455013224,1501.006359300477,Complete,944133.0,358472.0,331525.0,629,1,September
SCA CIP,Scope,0.9803477371516236,0.9936180005113782,1417.0289855072465,Complete,195550.0,194302.0,191707.0,138,1,April
SCA CIP,Design,0.4970687803630785,0.6252600357964715,5751.470588235294,Complete,977750.0,611348.0,486009.0,170,1,December
SCA CIP,Scope,1.2780011487650775,1.2780011487650775,28.308943089430894,Complete,3482.0,4450.0,4450.0,123,0,June
SCA CIP,Design,1.1361460394459693,1.1361460394459693,88.01685393258427,Complete,15667.0,17800.0,17800.0,178,1,July
SCA CIP,Scope,1.5780496712929146,1.5780496712929146,300.8791208791209,Complete,27380.0,43207.0,43207.0,91,0,April
SCA CIP,Design,1.191745799853908,1.2607669831994157,724.3386243386243,Complete,136900.0,172599.0,163150.0,189,0,August
SCA CIP,Scope,1.4708216663267009,1.4708216663267009,438.4308943089431,Complete,53927.0,79317.0,79317.0,123,0,May
SCA CIP,Design,0.7261719245997391,0.791375681530476,1375.095238095238,Complete,259893.0,205673.0,188727.0,189,1,August
SCA CIP,Scope,1.8361703806993082,1.8468257517956272,275.42753623188406,Complete,38009.0,70196.0,69791.0,138,1,March
SCA CIP,Scope,1.0,1.0,175.70289855072463,Complete,24247.0,24247.0,24247.0,138,1,March
SCA CIP,Design,0.024268017265571755,1.0,489.09150326797385,Complete,74831.0,74831.0,1816.0,153,0,January
SCA CIP,Scope,0.5377508619927505,0.5377508619927505,167.57037037037037,Complete,22622.0,12165.0,12165.0,135,1,April
SCA CIP,Design,1.050075148085934,1.300565820882327,725.0641025641025,Complete,113110.0,147107.0,118774.0,156,1,October
SCA CIP,Scope,1.788865264331276,2.1904815969283487,697.0215827338129,Complete,96886.0,212227.0,173316.0,139,1,May
SCA CIP,Scope,0.6156852527357999,0.6156852527357999,31.983333333333334,Complete,3838.0,2363.0,2363.0,120,0,July
SCA CIP,Design,0.5471599791558103,0.5471599791558103,94.8956043956044,Complete,17271.0,9450.0,9450.0,182,0,July
SCA CIP,Scope,1.9484855818789721,1.9849051191724707,808.4130434782609,Complete,111561.0,221438.0,217375.0,138,1,June
SCA CIP,Design,1.264499852287371,1.3747061606134696,3606.1895424836603,Complete,551747.0,758490.0,697684.0,153,1,January
SCA CIP RESOA,Scope,0.9180602358949765,1.0,0.0,Complete,0.0,28094.0,28094.0,93,0,December
SCA CIP RESOA,Design,1.362199147389381,1.8916061954589798,554.2888888888889,Complete,74829.0,141547.0,101932.0,135,1,February
SCA CIP RESOA,Scope,0.9180602358949765,1.0,0.0,Complete,0.0,18840.0,18840.0,91,1,March
SCA CIP RESOA,Design,6.491079014443501,9.429481733220051,13.76608187134503,Complete,2354.0,22197.0,15280.0,171,1,December
SCA CIP,Scope,1.3314534280873018,1.3324397460863409,329.5083333333333,Complete,39541.0,52686.0,52647.0,120,1,January
SCA CIP,Design,0.6874533053120414,0.8236324839155277,1208.1103896103896,Complete,186049.0,153236.0,127900.0,154,1,July
SCA CIP,Scope,2.3401175044788705,2.5810412056064918,546.1294964028777,Complete,75912.0,195932.0,177643.0,139,1,August
SCA CIP,Design,0.7860615094125253,0.8477088839414932,2124.522988505747,Complete,369667.0,313370.0,290581.0,174,1,June
SCA CIP,Scope,0.4614906079579883,0.4614906079579883,2633.5106382978724,Complete,371325.0,171363.0,171363.0,141,0,October
SCA CIP,Design,0.5196923445665449,0.5565852778365015,9901.986666666666,Complete,1485298.0,826695.0,771898.0,150,0,January
SCA CIP,Scope,1.9005092297899426,1.9005092297899426,14.386446886446887,Complete,15710.0,29857.0,29857.0,1092,1,January
SCA CIP,Design,1.2154670505438259,1.675767754318618,400.7692307692308,Complete,62520.0,104769.0,75991.0,156,1,July
SCA CIP,Scope,0.49943672549755913,0.49943672549755913,44.38333333333333,Complete,5326.0,2660.0,2660.0,120,0,July
SCA CIP,Design,0.4439622798965201,0.4439622798965201,131.6813186813187,Complete,23966.0,10640.0,10640.0,182,0,July
SCA CIP,Scope,1.0234579763260858,1.099008469119905,3579.9645390070923,Complete,504775.0,554752.0,516616.0,141,0,October
SCA CIP,Design,0.7738224218736043,0.948166513487386,16792.233333333334,Complete,2518835.0,2388275.0,1949131.0,150,1,January
SCA CIP,Scope,0.9739391143911439,0.9739391143911439,36.13333333333333,Complete,4336.0,4223.0,4223.0,120,0,July
SCA CIP,Design,0.9085737713319325,0.9085737713319325,107.21428571428571,Complete,19513.0,17729.0,17729.0,182,0,July
SCA CIP,Scope,1.7986921296296297,1.7986921296296297,477.34806629834253,Complete,86400.0,155407.0,155407.0,181,0,May
SCA CIP,Design,0.8365578703703703,0.8686226851851852,1505.226480836237,Complete,432000.0,375245.0,361393.0,287,0,September
SCA CIP,Scope,1.1676097297053585,1.3101118149642688,1285.768115942029,Complete,177436.0,232461.0,207176.0,138,1,June
SCA CIP,Scope,0.42585421077000074,0.42585421077000074,2612.9300699300697,Complete,373649.0,159120.0,159120.0,143,0,October
SCA CIP,Design,0.6602555867790714,0.7832269503546099,9768.627450980392,Complete,1494600.0,1170611.0,986818.0,153,0,January
SCA CIP,Scope,0.42384835794577913,0.42384835794577913,38.12605042016807,Complete,4537.0,1923.0,1923.0,119,0,January
SCA CIP,Design,0.37684922112275887,0.37684922112275887,114.04469273743017,Complete,20414.0,7693.0,7693.0,179,0,March
SCA CIP,Scope,0.028728638696365272,0.028728638696365272,922.0,Complete,113406.0,3258.0,3258.0,123,1,February
SCA CIP,Design,0.6174423343677158,0.6238827954067697,3609.238709677419,Complete,559432.0,349020.0,345417.0,155,1,November
SCA CIP,Scope,0.3154848046309696,0.3154848046309696,28.791666666666668,Complete,3455.0,1090.0,1090.0,120,0,February
SCA CIP,Design,0.280604696043744,0.280604696043744,87.82485875706215,Complete,15545.0,4362.0,4362.0,177,0,March
SCA CIP,Scope,0.3899138991389914,0.3899138991389914,33.59504132231405,Complete,4065.0,1585.0,1585.0,121,0,June
SCA CIP,Design,0.3467468562055768,0.3467468562055768,101.04972375690608,Complete,18290.0,6342.0,6342.0,181,0,July
SCA CIP RESOA,Scope,0.9180602358949765,1.0,0.0,Complete,0.0,22402.0,22402.0,284,0,June
SCA CIP RESOA,Design,1.332016920585611,1.480733005056347,1080.6785714285713,Complete,60518.0,89611.0,80611.0,56,1,January
SCA CIP,Scope,0.37457862383501883,0.37457862383501883,41.0,Complete,5043.0,1889.0,1889.0,123,0,March
SCA CIP,Design,0.3329073763990482,0.3329073763990482,128.21468926553672,Complete,22694.0,7555.0,7555.0,177,0,April
SCA CIP,Scope,0.9366583541147132,0.9366583541147132,50.125,Complete,6015.0,5634.0,5634.0,120,0,June
SCA CIP,Design,0.8325636383788377,0.8325636383788377,148.71978021978023,Complete,27067.0,22535.0,22535.0,182,0,September
SCA CIP,Scope,1.1487900322449363,1.1575212096546974,2366.1481481481483,Complete,319430.0,369747.0,366958.0,135,1,March
